fire,full_text,media_link,place,created_at
Getty,From off Twitter earlier today of #GettyFire. Scary. https://t.co/9JeNuYezP9,https://twitter.com/greggrunberg/status/1188962591093084160/video/1,n/a,2019-10-28 23:35:46
Getty,Is there anything we can do to stop #GettyFire #LAfires https://t.co/ATdcS7DUuz,https://twitter.com/PaulieGMMA/status/1189015402497466368/video/1,n/a,2019-10-29 03:05:37
Getty,can someone please tell me why nobody notified us about the #GettyFire until it jumped right next to our dorms at msmu around 2:40am when the fire started at 1:30am?? anyone?? ANYONE?? i’m still shaken from it all. https://t.co/4N22u29sOi,https://twitter.com/lionjelli/status/1189042487450406912/video/1,n/a,2019-10-29 04:53:15
Getty,"#GETTYFIRE: Rare ‘extreme red flag’ warning issued ahead of hurricane-force Santa Ana winds, the strongest since 2007; LAPD on tactical alert 

 https://t.co/EYQ2MVNaP9",https://twitter.com/elvi5_/status/1188865238902296582/video/1,n/a,2019-10-30 01:28:13
Getty,"""Oh, my Lord.""

A driver on the 405 in Southern California captured terrifying footage of the aggressive #GettyFire. The nearby Getty Center tweeted that their building was safe, but many nearby residents were forced to evacuate. https://t.co/wo0iYNamQm https://t.co/F4AQxQAm8T",https://twitter.com/ABC/status/1188968941529550849/video/1,n/a,2019-10-29 00:01:00
